area,date,price
"92610",1996-04,115600
"92610",1996-05,116200
"92610",1996-06,116900
"92610",1996-07,117600
"92610",1996-08,119400
"92610",1996-09,122200
"92610",1996-10,124400
"92610",1996-11,125100
"92610",1996-12,124700
"92610",1997-01,124500
"92610",1997-02,123900
"92610",1997-03,122200
"92610",1997-04,120600
"92610",1997-05,120700
"92610",1997-06,122200
"92610",1997-07,123200
"92610",1997-08,123400
"92610",1997-09,123800
"92610",1997-10,125100
"92610",1997-11,126200
"92610",1997-12,127200
"92610",1998-01,128500
"92610",1998-02,129400
"92610",1998-03,131500
"92610",1998-04,
"92610",1998-05,
"92610",1998-06,
"92610",1998-07,135700
"92610",1998-08,138500
"92610",1998-09,138500
"92610",1998-10,139300
"92610",1998-11,141600
"92610",1998-12,143800
"92610",1999-01,144400
"92610",1999-02,143600
"92610",1999-03,143500
"92610",1999-04,144500
"92610",1999-05,146700
"92610",1999-06,149900
"92610",1999-07,151800
"92610",1999-08,151600
"92610",1999-09,151600
"92610",1999-10,153600
"92610",1999-11,155700
"92610",1999-12,157200
"92610",2000-01,159300
"92610",2000-02,163600
"92610",2000-03,167000
"92610",2000-04,169300
"92610",2000-05,172000
"92610",2000-06,174800
"92610",2000-07,176000
"92610",2000-08,177400
"92610",2000-09,180000
"92610",2000-10,182200
"92610",2000-11,183400
"92610",2000-12,185400
"92610",2001-01,187800
"92610",2001-02,189700
"92610",2001-03,191800
"92610",2001-04,195000
"92610",2001-05,198600
"92610",2001-06,203200
"92610",2001-07,207600
"92610",2001-08,211100
"92610",2001-09,215300
"92610",2001-10,220600
"92610",2001-11,224500
"92610",2001-12,226300
"92610",2002-01,227300
"92610",2002-02,227700
"92610",2002-03,226200
"92610",2002-04,224500
"92610",2002-05,224800
"92610",2002-06,225100
"92610",2002-07,226300
"92610",2002-08,232300
"92610",2002-09,237700
"92610",2002-10,239100
"92610",2002-11,241200
"92610",2002-12,245500
"92610",2003-01,249900
"92610",2003-02,254900
"92610",2003-03,259600
"92610",2003-04,262900
"92610",2003-05,265600
"92610",2003-06,268000
"92610",2003-07,270500
"92610",2003-08,274900
"92610",2003-09,281900
"92610",2003-10,289000
